kEDROvQ 0.00000000 -1844.08561753 -68.7788909621 48 24 24 1.92276953 1.93835565 1.93972897 1.94383810 1.95597714 2.38775676 2.41611518 2.41832446 2.41961095 2.41973075 2.42139337 2.42377206 2.43572048 2.43770308 2.44327826 2.46227101 2.47427804 2.47600991 2.47901136 2.47919023 2.47969414 2.48108135 2.48240027 2.49225279 60 1.43855460 1.43383654 1.42829424 1.44494525 1.41770845 1.43504894 1.38202471 1.35666241 1.44033846 1.41979388 1.43335660 1.42451832 1.43291870 1.42435859 1.43533251 1.43838564 1.43439976 1.36711627 1.42337648 1.45090557 1.43794106 1.40644503 1.41551642 1.40613467 1.36367234 1.42880480 1.42731701 1.42765383 1.40750421 1.36038571 1.43306874 1.40286839 1.39042900 1.39501013 1.39670496 1.43793574 1.46812392 1.39126621 1.43540445 1.42953318 1.40520092 1.44022808 1.43342011 1.35758939 1.43118797 1.39194751 1.43902175 1.42362598 1.42862168 1.43703586 1.43896364 1.35923902 1.42982770 1.40173156 1.42594610 1.43114566 1.40686723 1.36395232 1.39642990 1.39084699 24 1.08722413 1.08296661 1.08329426 1.08386556 1.08786389 1.08729052 1.08337061 1.08305874 1.08733696 1.08724269 1.08726353 1.08659210 1.08112118 1.08805821 1.08330355 1.08724024 1.08461728 1.08732718 1.08743990 1.08743548 1.08345254 1.08733514 1.08662309 1.08728549
kEO10gS 0.00000000 -1844.08238679 -68.6111568873 48 24 24 1.94479836 1.96394339 1.99203083 2.38993895 2.41316628 2.41866154 2.41925921 2.41966665 2.42481225 2.43967441 2.44250589 2.45853768 2.46017164 2.46035928 2.46259606 2.47602839 2.47884403 2.47906969 2.47920753 2.47975297 2.48804479 2.48994492 2.49204722 2.50455854 60 1.42854937 1.43056627 1.42439825 1.42982694 1.42603888 1.43860818 1.40207200 1.35954644 1.43857402 1.39293601 1.43232956 1.42829464 1.44189952 1.43731950 1.40379503 1.47045274 1.36376721 1.43144329 1.40655231 1.39117166 1.39610340 1.35684089 1.43684670 1.44685353 1.38949730 1.38891031 1.41101821 1.41331045 1.44108523 1.41279327 1.40672376 1.39488754 1.38920902 1.44988701 1.46602866 1.42733894 1.37401884 1.42627535 1.40447545 1.45121916 1.41720853 1.44576579 1.35404302 1.44650315 1.41894633 1.44565229 1.38013770 1.39559395 1.42996641 1.43870635 1.42390347 1.42978181 1.42833684 1.42425359 1.41026161 1.36071967 1.43944057 1.40202844 1.39777250 1.38999836 24 1.08732611 1.08742655 1.08471022 1.08347063 1.08743894 1.08728740 1.08662532 1.08733358 1.08726588 1.08330429 1.08807826 1.08510700 1.08800690 1.08541362 1.08794004 1.08732864 1.08729435 1.08512398 1.08810748 1.08743041 1.08736523 1.08724328 1.08667122 1.08721899
kEOjhEu 0.00000000 -1844.08562643 -68.8208595909 48 24 24 1.90743484 1.90836463 1.94496794 1.95272617 1.96493848 2.39627584 2.41851971 2.41948302 2.41968036 2.42443906 2.42676338 2.42712930 2.44356648 2.44357751 2.44412736 2.44416983 2.45719911 2.46265884 2.47904882 2.47920905 2.47975013 2.48744615 2.48748175 2.49204703 60 1.45135641 1.40966656 1.43646246 1.40982118 1.43642452 1.45972394 1.42687217 1.44687916 1.39353178 1.45987034 1.39304707 1.42674301 1.42994773 1.42230683 1.41116266 1.42999639 1.36482484 1.47002333 1.39619451 1.43002535 1.39619543 1.42993745 1.42230890 1.41112543 1.36478935 1.40119943 1.38017989 1.40118529 1.38019672 1.40797624 1.43641364 1.41477295 1.40817194 1.41049797 1.38830591 1.44752540 1.47125219 1.38898845 1.43672610 1.42805101 1.40348520 1.44202872 1.43235804 1.35685103 1.39308394 1.43046099 1.43850146 1.42443346 1.42858182 1.43732071 1.35958051 1.43857175 1.42981768 1.40211007 1.42602519 1.43146611 1.40653617 1.36376120 1.39606887 1.39119577 24 1.08296443 1.08716513 1.08717265 1.08295276 1.08652810 1.08387939 1.08708074 1.08387700 1.08652438 1.08708420 1.08400328 1.08394068 1.08510669 1.08818332 1.08329259 1.08727766 1.08471695 1.08742141 1.08732178 1.08743717 1.08346823 1.08733007 1.08662456 1.08728549
kETxmtM 0.00000000 -1844.08628304 -68.7838883252 48 24 24 1.92432904 1.93976397 1.94894364 1.97596361 1.99934975 2.38975560 2.38985142 2.39228210 2.41856953 2.41951986 2.41996736 2.42041359 2.42045964 2.42386858 2.43604258 2.46252337 2.47409311 2.47588159 2.47871173 2.47917639 2.47967023 2.48109315 2.48240347 2.49186665 60 1.43818612 1.43362496 1.42842256 1.44464867 1.41668989 1.43474635 1.38291093 1.35705174 1.44031726 1.41990404 1.43346091 1.42465575 1.43285055 1.42467174 1.43537917 1.43826720 1.43445451 1.36737525 1.42272948 1.44967260 1.43819426 1.40218312 1.41543240 1.41053243 1.36368340 1.42879535 1.42734880 1.42768717 1.40751126 1.36041987 1.43304171 1.40290411 1.39043323 1.39498863 1.39699725 1.43823874 1.43392988 1.39102834 1.46830553 1.35904122 1.43956706 1.42857475 1.43368942 1.40409802 1.42371468 1.43672661 1.43140731 1.42877985 1.39234524 1.43876456 1.42984657 1.42599242 1.43889281 1.40179271 1.35934218 1.36402222 1.43112957 1.40692849 1.39082385 1.39639767 24 1.08724931 1.08298608 1.08330045 1.08409251 1.08797055 1.08728951 1.08337992 1.08307929 1.08733724 1.08724376 1.08726514 1.08659623 1.08519078 1.08505074 1.08737334 1.08333830 1.08480652 1.08732366 1.08741747 1.08353067 1.08743394 1.08728521 1.08662987 1.08733204
kETxpUO 0.00000000 -1844.08248164 -68.6130549165 48 24 24 1.94562580 1.96522623 1.99414615 2.41060530 2.41875832 2.41945153 2.41974541 2.42289426 2.43984891 2.44271050 2.44325330 2.45071078 2.45854838 2.46037393 2.46039669 2.46268308 2.47601706 2.47884309 2.47905429 2.47916687 2.47974242 2.48801569 2.48994156 2.49207442 60 1.42860586 1.43052032 1.42437198 1.42982960 1.42602060 1.43857484 1.40209769 1.35958883 1.43846781 1.39308267 1.43257262 1.42817448 1.44160538 1.43723481 1.40341391 1.47126063 1.36380377 1.43142765 1.40657769 1.39116675 1.39609003 1.35736226 1.43589746 1.44694176 1.38819526 1.39020873 1.40894636 1.41531027 1.44113552 1.40637648 1.41302342 1.38874095 1.39541025 1.44996839 1.42695335 1.46623157 1.42622275 1.40433451 1.37425444 1.45110822 1.44560676 1.41726233 1.44649385 1.41894189 1.35413395 1.44559199 1.38019808 1.39565489 1.42997625 1.43866212 1.42393418 1.42980672 1.42832422 1.42421670 1.41028909 1.36073381 1.43943871 1.40204874 1.39777217 1.38998870 24 1.08732086 1.08741917 1.08471888 1.08347694 1.08743892 1.08728605 1.08662775 1.08733137 1.08729798 1.08328594 1.08822353 1.08501485 1.08533423 1.08813056 1.08796236 1.08733832 1.08729226 1.08512155 1.08810673 1.08736423 1.08742638 1.08724090 1.08721730 1.08667508
kFY3O2K 0.00000000 -1844.08998648 -68.8121401363 48 24 24 1.92313542 1.95318493 1.95855626 1.95984243 1.96673473 2.38698520 2.38763646 2.40306444 2.40370924 2.41174634 2.41256006 2.42255668 2.42303209 2.46135391 2.46152649 2.46183975 2.47711435 2.47908148 2.47924263 2.47929400 2.47948527 2.47992465 2.49245891 2.49285854 60 1.42886117 1.43372573 1.42042210 1.42977552 1.42578102 1.44014682 1.40067843 1.35855543 1.44007508 1.38961854 1.43743466 1.42979879 1.42806475 1.43511326 1.40877647 1.46243779 1.36492208 1.43020577 1.40815117 1.38971024 1.39758857 1.36496124 1.42738719 1.42420259 1.41269833 1.44251820 1.41921337 1.42507966 1.38651177 1.43533806 1.44200195 1.42984323 1.43981595 1.41590189 1.35605644 1.44134477 1.38412460 1.37017046 1.42439277 1.45018759 1.43670088 1.40985881 1.41461405 1.44464948 1.38778216 1.43698456 1.44001492 1.41837298 1.43267473 1.42933227 1.35823881 1.44078901 1.43014515 1.42571224 1.39977304 1.36613479 1.42855853 1.40958961 1.39869930 1.38845280 24 1.08733445 1.08743110 1.08409681 1.08368043 1.08742013 1.08727841 1.08663165 1.08733786 1.08364127 1.08351088 1.08407755 1.08732951 1.08734540 1.08379597 1.08375755 1.08432222 1.08443905 1.08731484 1.08743331 1.08370223 1.08739320 1.08733360 1.08725907 1.08662992
kFY3O8W 0.00000000 -1844.08878767 -68.7973547565 48 24 24 1.92898946 1.93238348 1.93535281 1.96201561 1.96348506 2.38253536 2.38428144 2.38618347 2.40909172 2.41222372 2.42324881 2.43783425 2.45884855 2.45913852 2.46129018 2.47018851 2.47463746 2.47866306 2.47924278 2.47953309 2.47960244 2.48776405 2.49002720 2.49254694 60 1.42891455 1.43463218 1.41996423 1.42980126 1.42580440 1.44051971 1.40035893 1.35820244 1.44063681 1.38856575 1.43780243 1.42986122 1.42698354 1.43485010 1.41052189 1.45735523 1.36502497 1.43002624 1.40839291 1.38943714 1.39786743 1.36487017 1.42944077 1.41745217 1.42266580 1.44819686 1.42044592 1.42613928 1.36892284 1.42277273 1.45411977 1.36755478 1.42271421 1.42383111 1.41870115 1.45055492 1.42763058 1.41261886 1.38282293 1.43694500 1.44449077 1.41928820 1.44417040 1.41611285 1.35577748 1.44387918 1.38326409 1.39077080 1.43445452 1.44101434 1.42158230 1.43092077 1.42970483 1.42081261 1.41345942 1.35937426 1.44152010 1.39889282 1.40101627 1.38701212 24 1.08734069 1.08742699 1.08409735 1.08373054 1.08741781 1.08727849 1.08663201 1.08734084 1.08320972 1.08364604 1.08336980 1.08329261 1.08374992 1.08318694 1.08393846 1.08742174 1.08728853 1.08456814 1.08808932 1.08738658 1.08743882 1.08725994 1.08720923 1.08668286
kFickIK 0.00000000 -1844.08743250 -68.7170438450 48 24 24 1.91881680 1.96236712 1.97966269 2.00729996 2.37644531 2.39239818 2.40103507 2.40912877 2.41972858 2.42323562 2.44387250 2.44419345 2.45865970 2.46006671 2.46104535 2.46205664 2.47566436 2.47845444 2.47907751 2.47919116 2.47973873 2.48750066 2.48940163 2.49285422 60 1.41838624 1.44590692 1.41800937 1.42341214 1.43143392 1.43009361 1.42877229 1.42323182 1.41117994 1.38092959 1.44526755 1.44852118 1.44552437 1.37616800 1.42679061 1.35440751 1.40610497 1.46096209 1.39420066 1.43930586 1.36028421 1.44001523 1.40110998 1.43868423 1.42510418 1.40420554 1.39539273 1.39868423 1.38909465 1.43543128 1.39813183 1.45824799 1.40256474 1.42897795 1.43631464 1.41401101 1.45443192 1.36215282 1.42447026 1.43234868 1.42398339 1.43926362 1.41231504 1.36707135 1.43542986 1.41906384 1.42897174 1.38750057 1.44106127 1.43444569 1.44090354 1.42983437 1.39999046 1.35792421 1.42572794 1.42965256 1.40879150 1.36528766 1.39826257 1.38906028 24 1.08810264 1.08729723 1.08734171 1.08519971 1.08742486 1.08737023 1.08801701 1.08724658 1.08667721 1.08721614 1.08544344 1.08490812 1.08303595 1.08739272 1.08387516 1.08360224 1.08386172 1.08734271 1.08743097 1.08373384 1.08741437 1.08663054 1.08734225 1.08727467
kFicxCK 0.00000000 -1844.08736841 -68.7969503767 48 24 24 1.92568641 1.94399249 1.94955257 1.95439918 1.95799194 2.38246732 2.40804221 2.41313370 2.41562686 2.41719479 2.42117955 2.42204477 2.42285531 2.42358401 2.46082404 2.46181891 2.47654947 2.47906533 2.47928795 2.47938784 2.47963101 2.48025458 2.49285232 2.49299124 60 1.42870015 1.43244646 1.42152115 1.42973002 1.42585549 1.43959938 1.40120031 1.35898190 1.43949588 1.39102916 1.43560532 1.42792678 1.43141599 1.43573847 1.40690322 1.46709883 1.36458296 1.43069729 1.40760282 1.39024888 1.39705836 1.36246487 1.43132357 1.43314415 1.40161250 1.43178581 1.42229402 1.43959527 1.39593384 1.42916502 1.43043186 1.43321454 1.41799003 1.43451196 1.36334276 1.43472448 1.44395526 1.36064255 1.43367248 1.38955861 1.40798121 1.44100994 1.41321737 1.44831521 1.41634328 1.43150558 1.38542037 1.43912379 1.44087833 1.42936731 1.43027797 1.42559553 1.35762906 1.44169118 1.39885901 1.36688008 1.42760054 1.41061634 1.38750932 1.39969144 24 1.08732996 1.08743198 1.08418425 1.08364694 1.08742532 1.08728109 1.08663265 1.08733625 1.08335502 1.08349281 1.08412728 1.08738928 1.08347538 1.08742698 1.08339546 1.08431823 1.08419311 1.08743537 1.08731927 1.08738225 1.08373559 1.08725188 1.08733697 1.08662677
kFicxIW 0.00000000 -1844.08871783 -68.7306948762 48 24 24 1.94903196 1.95006159 1.97274561 1.97806412 2.38903793 2.39299337 2.41714181 2.42023589 2.42074570 2.42083416 2.42343431 2.43507692 2.45869278 2.46001729 2.46232663 2.46970492 2.47445900 2.47843133 2.47927835 2.47962290 2.47970549 2.48773280 2.48968658 2.49179553 60 1.42886861 1.43208279 1.42316850 1.42985008 1.42596030 1.43921232 1.40150912 1.35907092 1.43916367 1.39152820 1.43440823 1.42896435 1.43840252 1.43646704 1.40518247 1.46568155 1.36415667 1.43090677 1.40718726 1.39054974 1.39666952 1.35939728 1.43386467 1.43337859 1.39630577 1.40031337 1.39919422 1.40294133 1.43322494 1.43059297 1.46192775 1.42223636 1.41403841 1.36206849 1.43392294 1.44785479 1.38503577 1.43487132 1.44346986 1.42979508 1.41429861 1.41989985 1.35628713 1.44311145 1.44402172 1.41589558 1.38405822 1.38973834 1.43516005 1.44139900 1.42108550 1.41988792 1.43115733 1.43005305 1.41412538 1.35911185 1.44183191 1.39830171 1.38640546 1.40166583 24 1.08732891 1.08741714 1.08479262 1.08354955 1.08743364 1.08728495 1.08662928 1.08733603 1.08735904 1.08338187 1.08501356 1.08512877 1.08730987 1.08347842 1.08459840 1.08727565 1.08740875 1.08438132 1.08808336 1.08744028 1.08738838 1.08720691 1.08726291 1.08668123
